㚂 0X3682 낭
㚃 0X3683 운
㚄 0X3684 체
㚅 0X3685 륭
㚆 0X3686 복
㚇 0X3687 종
㚈 0X3688 천
㚉 0X3689 고
㚊 0X368A 해
㚋 0X368B 조
㚌 0X368C 과
㚍 0X368D 괴
㚎 0X368E 대
㚏 0X368F 호
㚐 0X3690 투
㚑 0X3691 령
㚒 0X3692 섬
㚓 0X3693 래
㚔 0X3694 녑
㚕 0X3695 불
㚖 0X3696 고
㚗 0X3697 자
㚘 0X3698 반
㚙 0X3699 가
㚚 0X369A 굉
㚛 0X369B 혜
㚜 0X369C 역
㚝 0X369D 순
㚞 0X369E 심
㚟 0X369F 착
㚠 0X36A0 효
㚡 0X36A1 기
㚢 0X36A2 노
㚣 0X36A3 교
㚤 0X36A4 익
㚥 0X36A5 우
㚦 0X36A6 희
㚧 0X36A7 엄
㚨 0X36A8 신
㚩 0X36A9 염
㚪 0X36AA 호
㚫 0X36AB 삽
㚬 0X36AC 균
㚭 0X36AD 우
㚮 0X36AE 담
㚯 0X36AF 심
㚰 0X36B0 배
㚱 0X36B1 구
㚲 0X36B2 첨
㚳 0X36B3 아
㚴 0X36B4 포
㚵 0X36B5 동
㚶 0X36B6 사
㚷 0X36B7 내
㚸 0X36B8 시
㚹 0X36B9 묘
㚺 0X36BA 잉
㚻 0X36BB 기
㚼 0X36BC 호
㚽 0X36BD 교
㚾 0X36BE 형
㚿 0X36BF 포
㛀 0X36C0 추
㛁 0X36C1 평
㛂 0X36C2 와
㛃 0X36C3 결
㛄 0X36C4 의
㛅 0X36C5 이
㛆 0X36C6 타
㛇 0X36C7 장
㛈 0X36C8 고
㛉 0X36C9 서
㛊 0X36CA 타
㛋 0X36CB 이
㛌 0X36CC 모
㛍 0X36CD 협
㛎 0X36CE 려
㛏 0X36CF 구
㛐 0X36D0 수
㛑 0X36D1 찬
㛒 0X36D2 두
㛓 0X36D3 치
㛔 0X36D4 봉
㛕 0X36D5 압
㛖 0X36D6 사
㛗 0X36D7 좌
㛘 0X36D8 발
㛙 0X36D9 신
㛚 0X36DA 용
㛛 0X36DB 신
㛜 0X36DC 유
㛝 0X36DD 패
㛞 0X36DE 롱
㛟 0X36DF 환
㛠 0X36E0 한
㛡 0X36E1 완
㛢 0X36E2 수
㛣 0X36E3 운
㛤 0X36E4 리
㛥 0X36E5 탑
㛦 0X36E6 람
㛧 0X36E7 맘
㛨 0X36E8 강
㛩 0X36E9 축
㛪 0X36EA 엄
㛫 0X36EB 석
㛬 0X36EC 륙
㛭 0X36ED 석
㛮 0X36EE 수
㛯 0X36EF 면
㛰 0X36F0 혼
㛱 0X36F1 외
㛲 0X36F2 발
㛳 0X36F3 예
㛴 0X36F4 뇌
㛵 0X36F5 칭
㛶 0X36F6 탄
㛷 0X36F7 계
㛸 0X36F8 수
㛹 0X36F9 변
㛺 0X36FA 암
㛻 0X36FB 과
㛼 0X36FC 삽
㛽 0X36FD 산
㛾 0X36FE 함
㛿 0X36FF 대
㜀 0X3700 상
㜁 0X3701 사
㜂 0X3702 봉
㜃 0X3703 련
㜄 0X3704 심
㜅 0X3705 축
㜆 0X3706 미
㜇 0X3707 이
㜈 0X3708 목
㜉 0X3709 옹
㜊 0X370A 전
㜋 0X370B 익
㜌 0X370C 누
㜍 0X370D 당
㜎 0X370E 혜
㜏 0X370F 운
㜐 0X3710 수
㜑 0X3711 파
㜒 0X3712 예
㜓 0X3713 답
㜔 0X3714 경
㜕 0X3715 련
㜖 0X3716 조
㜗 0X3717 참
㜘 0X3718 처
㜙 0X3719 록
㜚 0X371A 숙
㜛 0X371B 눈
㜜 0X371C 오
㜝 0X371D 암
㜞 0X371E 참
㜟 0X371F 감
㜠 0X3720 최
㜡 0X3721 종
㜢 0X3722 루
㜣 0X3723 연
㜤 0X3724 담
㜥 0X3725 매
㜦 0X3726 심
㜧 0X3727 월
㜨 0X3728 내
㜩 0X3729 오
㜪 0X372A 신
㜫 0X372B 미
